bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
1,0.0,0.0,1.0,0,0,14,15,0,1403,1526,2,2,1,4,4
0,0.0,0.0,0.0,1,0,313,291,0,32033,14741,3,3,1,5,5
1,0.0,0.0,1.0,0,0,72,116,0,866,3484,2,3,1,3,4
1,0.0,0.0,1.0,0,0,38,9,0,2097,2983,2,1,1,4,4
1,0.0,1.0,1.0,1,0,263,489,2,8602,11979,3,3,1,4,5
1,0.0,0.0,1.0,0,0,121,50,0,2202,4772,3,2,1,4,4
1,0.0,1.0,1.0,0,0,1167,1508,10,23199,62145,4,4,1,5,5
0,0.0,1.0,0.0,1,0,248,644,2,3359,5502,3,3,1,4,4
1,0.0,0.0,0.0,0,0,296,463,0,3527,9443,3,3,1,4,4
0,0.0,0.0,1.0,1,0,882,1615,24,9177,14689,3,4,2,4,5
1,0.0,1.0,0.0,1,0,1968,1882,6,1534,9474,4,4,1,4,4
0,0.0,1.0,0.0,1,0,377,415,33,10611,25872,3,3,2,5,5
0,0.0,0.0,1.0,0,0,26,48,0,15244,2175,2,2,1,5,4
1,0.0,1.0,0.0,0,0,594,927,3,8227,15344,3,3,1,4,5
1,0.0,1.0,1.0,0,0,343,622,0,1769,6926,3,3,1,4,4
1,0.0,0.0,0.0,0,0,287,165,3,13081,36223,3,3,1,5,5
0,0.0,0.0,0.0,1,0,127,328,0,976,1748,3,3,1,3,4
0,0.0,1.0,0.0,1,0,772,657,1,19630,10620,3,3,1,5,5
0,0.0,0.0,1.0,0,0,11,39,0,507,475,2,2,1,3,3
0,0.0,0.0,1.0,0,0,308,408,0,15138,14196,3,3,1,5,5
0,0.0,0.0,1.0,1,0,197,191,0,4215,1968,3,3,1,4,4
1,0.0,1.0,0.0,1,0,952,1162,2,6629,21569,3,4,1,4,5
1,0.0,0.0,1.0,1,1,12,14,0,12,454,2,2,1,2,3
1,0.0,0.0,1.0,0,1,19,6,0,26,1495,2,1,1,2,4
1,0.0,1.0,0.0,1,0,432,469,1,15131,9089,3,3,1,5,4
1,0.0,0.0,1.0,0,0,14,117,0,1124,537,2,3,1,4,3
1,0.0,0.0,0.0,1,0,292,420,0,198,2998,3,3,1,3,4
0,0.0,0.0,1.0,1,0,131,51,0,588,16907,3,2,1,3,5
1,0.0,0.0,1.0,1,0,210,224,0,5,2006,3,3,1,1,4
0,0.0,1.0,0.0,1,0,38,0,3,5294,18632,2,1,1,4,5
1,0.0,0.0,0.0,1,0,7242,1431,35,15364,16955,4,4,2,5,5
0,0.0,0.0,1.0,1,0,59,186,0,1841,1878,2,3,1,4,4
1,0.0,0.0,1.0,0,0,0,100,0,26,371,1,2,1,2,3
0,0.0,0.0,1.0,0,0,200,196,0,11378,8947,3,3,1,5,4
1,0.0,1.0,1.0,1,0,215,340,0,122,2013,3,3,1,3,4
1,0.0,0.0,1.0,1,0,148,229,1,5600,14023,3,3,1,4,5
0,0.0,0.0,1.0,0,0,30,7,0,209,4469,2,1,1,3,4
1,0.0,0.0,1.0,1,0,40473,32522,560,519004,145520,5,5,3,5,5
1,0.0,0.0,0.0,0,0,792,1675,4,2499,16498,3,4,1,4,5
1,0.0,1.0,1.0,0,0,310,710,0,1845,6700,3,3,1,4,4
0,0.0,0.0,1.0,1,1,27,55,0,1147,2965,2,2,1,4,4
0,0.0,1.0,1.0,1,0,1475,1946,27,30047,57298,4,4,2,5,5
0,0.0,1.0,1.0,1,0,13120,7964,164,66507,201085,5,4,3,5,5
1,0.0,1.0,1.0,0,0,445,88,1,2974,4661,3,2,1,4,4
1,0.0,0.0,1.0,1,0,11,14,0,4,1496,2,2,1,1,4
0,0.0,0.0,0.0,0,0,69,227,0,8526,1622,2,3,1,4,4
0,0.0,0.0,1.0,1,1,65,68,0,964,1242,2,2,1,3,4
0,0.0,1.0,0.0,1,0,3966,273,37,12940,22448,4,3,2,5,5
0,0.0,0.0,1.0,1,0,1536,2814,4,1599,3326,4,4,1,4,4
0,0.0,1.0,1.0,1,0,1481,3897,1,12240,11668,4,4,1,5,5
0,0.0,0.0,0.0,1,0,1624,944,29,15313,12597,4,3,2,5,5
0,0.0,1.0,1.0,0,1,675,339,58,82215,88127,3,3,2,5,5
1,0.0,0.0,1.0,0,0,329,449,1,205,2419,3,3,1,3,4
1,0.0,0.0,1.0,0,0,101,4,1,8818,11519,3,1,1,4,5
0,0.0,0.0,0.0,1,0,1388,869,9,23221,9424,4,3,1,5,4
